DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,Time Series ID
-0.8882540351676372,-1.0964567285769466,4.758450774363542,12,0.5521841293136114,-0.0008555709271684088,0.9124270225187656,16.0,0.004787797954926301,23,0.8861008996748484,5.0,0.8571428571428571,0.21500000000000008,-0.20750000000000002,0.9865388740728485,15.0,1.6104817682304806,0.3333333333333333,0.875,0.26077673394057616,0.5087380026863587,0
0.8376718729007602,0.6263741037877817,5.094076192845483,12,0.5695582582381795,-0.0015358829496278379,0.9124270225187656,18.0,0.0016643297652839048,23,0.9549071584842553,6.0,0.8571428571428571,0.48750000000000004,-0.4533333333333333,0.9875234172173467,14.0,1.5920228106567176,0.14583333333333334,0.7916666666666666,0.26077673394057616,0.480727777857221,1
0.874236880313535,0.6552407022373097,4.934238068708848,12,0.5520090668450274,-0.001519975422867414,0.9157631359466222,18.0,0.0029752744434184872,23,0.9896004517013295,6.0,0.8571428571428571,0.35083333333333333,-0.29458333333333336,0.9879652965026913,15.0,1.6013606896418107,0.3333333333333333,0.875,0.26077673394057616,0.49298529827608156,2
0.08557046798409185,-0.1429568142046962,6.9520325478688925,12,0.607090989329462,0.0013655415577201885,0.8940783986655546,52.0,0.009227220299884662,23,0.733353053318957,11.0,0.2,0.6466666666666667,-0.6475,0.9732824873084479,10.0,1.6042368661451158,0.14583333333333334,0.7083333333333334,0.24850488763749023,0.40954892636794776,3
-0.008574186629131786,0.2313912938218916,5.602394969813057,12,0.5315105664783465,0.00047462297446711275,0.896580483736447,22.0,0.01810729246430341,23,0.6891927464063233,7.0,0.875,0.51375,-0.5541666666666667,0.9700294729255556,13.0,1.6369548254413544,0.14583333333333334,0.8125,0.26077673394057616,0.4723175489930417,4
-0.9311279029897728,-0.7030237162500783,5.163099139884555,12,0.5333500324895932,-0.0015427384021611276,0.9099249374478732,18.0,0.0020747124471347305,23,0.8647335007731854,6.0,0.8571428571428571,0.4125000000000001,-0.4091666666666667,0.9832241084838179,15.0,1.607586369787589,0.3125,0.875,0.26077673394057616,0.4813836045923791,5
-0.03639356821142914,0.19808841032851365,5.769323460140715,12,0.5572892896756555,0.00012393363948709967,0.908256880733945,25.0,0.006708500574745133,23,0.8428193150030611,7.0,0.6666666666666666,0.5349999999999999,-0.5658333333333334,0.9802392913974332,12.0,1.6223890478560246,0.14583333333333334,0.8541666666666666,0.26077673394057616,0.447356386452116,6
0.04998951423038045,-0.189513404566929,5.425232108129478,12,0.49992037783526466,0.0007353828944793113,0.926605504587156,19.0,0.01680104499797306,23,0.5911239401799515,7.0,0.125,0.40833333333333344,-0.2891666666666667,0.9582008202300568,10.0,1.6855332564656098,0.14583333333333334,0.875,0.26077673394057616,0.49795217274799525,7
-0.029623769661936805,-0.2606727612970281,5.360102924685821,12,0.5420495573541587,0.00019844071582846655,0.9065888240200167,19.0,0.04080897256880321,23,0.9110329810981441,6.0,0.75,0.4945833333333334,-0.49583333333333335,0.9856685416166815,15.0,1.6014762985101685,0.14583333333333334,0.8541666666666666,0.26077673394057616,0.4648503096699081,8
0.02950653558291827,-0.2177499582382867,5.780637677428983,12,0.5384945048609177,-0.0014578994406793243,0.9115929941618015,24.0,0.005917048259747112,23,0.7161524337378854,7.0,0.6666666666666666,0.49749999999999994,-0.4916666666666667,0.9768657590173557,12.0,1.6195002828892338,0.14583333333333334,0.875,0.26077673394057616,0.45254330500950324,9
0.907795121798249,0.668211286341047,4.949992538236895,12,0.49535797596523434,0.0024132354798013208,0.8999165971643036,18.0,0.002929676367657285,23,0.6351043185183518,6.0,1.0,0.29499999999999993,-0.28833333333333333,0.9637895968080882,13.0,1.6517981481622117,0.3125,0.875,0.26077673394057616,0.5209597908821499,10
