DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,Time Series ID
0.028807822200735432,-1.4130787387974597,4.354261267543858,14,0.9649629230074277,-0.004812988794417568,1.0,10.0,0.16666666666666669,0,1.2299948359923207,7.0,0.875,-0.65,0.75,0.7410197854171446,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.010630164172088138,0
-1.1479172777214472,-1.3079215214979976,4.332554313340764,14,0.9509256152732218,-0.005112735303428964,1.0,10.0,0.16666666666666669,0,1.2300545919852526,3.0,0.875,-0.7,0.75,0.7394084730015564,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.04673688480962974,1
1.197567111401256,1.3540385387369902,4.352837550326094,14,0.9988726273485187,-0.004713486348996388,1.0,10.0,0.16666666666666669,0,1.4609099547254614,10.0,0.25,-0.65,0.75,0.7447238254857652,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.012761690638142397,2
0.907448824902704,1.0548138496589288,4.4526513456564585,13,0.9870696214090251,-0.005328671933551787,0.9473684210526315,11.0,0.16666666666666669,0,1.772537923340541,10.0,0.75,-0.55,0.8,0.7754784926043442,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.1091852795835888,3
1.1203508275304654,1.2717102421982085,4.4251735681364615,14,0.9988726273485187,-0.0045434309942436815,1.0,10.0,0.16666666666666669,0,1.656818231754715,10.0,0.375,-0.65,0.75,0.7625039745992345,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.04692706606765923,4
1.0410894018627876,1.1929682901598109,4.354329691957314,14,0.9509256152732217,-0.005081432691066369,0.8947368421052632,10.0,0.16666666666666669,0,1.4267843067833141,2.0,0.375,-0.65,0.8,0.7530278423954567,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.0516729640982868,5
0.9820794215658544,1.1295240323704325,4.47553149629494,14,1.0215959352725603,-0.004847995296588152,0.8947368421052632,10.0,0.16666666666666669,0,1.7197685504898867,10.0,0.625,-0.6,0.75,0.7761314864446601,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.08197110256748344,6
1.0003740083246557,1.1421300962452503,4.565377297933925,13,1.02159593527256,-0.004701230698466067,0.8947368421052632,10.0,0.16666666666666669,0,1.5939425854799996,10.0,0.5,-0.6,0.75,0.7967249619245395,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.09229297048004059,7
0.9803571155519912,1.1263663986605328,4.478738300464499,14,1.0215959352725603,-0.004749317833355531,0.9473684210526315,10.0,0.16666666666666669,0,1.7470175941183472,10.0,0.5,-0.6,0.75,0.7782927757390106,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.08045621187571572,8
0.9765725377562966,1.1252224866557892,4.466939474932264,14,0.9736489231972634,-0.0048940214744035565,0.9473684210526315,10.0,0.16666666666666669,0,1.71400516754099,10.0,0.75,-0.6,0.75,0.7731055741385278,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.0815413995831073,9
0.9357386601272981,1.0820869553929855,4.48869079522574,13,0.9870696214090251,-0.005053701623621497,0.9473684210526315,10.0,0.16666666666666669,0,1.9259484876273285,10.0,0.625,-0.6,0.75,0.78034523397913,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.09973685263231306,10
0.9147276440450867,1.060618467412939,4.491809685693735,13,0.9870696214090251,-0.005078061452558777,0.9473684210526315,11.0,0.16666666666666669,0,1.8698988087709456,10.0,0.625,-0.6,0.75,0.7813510055838023,18.0,1.3892651269081688,0.0,0.0,0.196349540849375,0.10228708225214843,11
