topological_1,topological_2,topological_3,Time Series ID
0.21089930419952213,-10.0,-10.0,0
0.20750875307093047,-10.0,-10.0,1
0.2081999405160842,-10.0,-10.0,2
0.2688190316943292,-10.0,-10.0,3
0.2521123008866328,-10.0,-10.0,4
0.22544093782297706,-10.0,-10.0,5
0.24324866007371368,-10.0,-10.0,6
0.2728656846735933,-10.0,-10.0,7
0.2186417599503292,-10.0,-10.0,8
0.24364160221552356,-10.0,-10.0,9
0.2605615140122934,-10.0,-10.0,10
0.26364093364437513,-10.0,-10.0,11
0.24563736380649817,-10.0,-10.0,12
0.2655685409393557,-10.0,-10.0,13
0.27468324214698825,-10.0,-10.0,14
0.20564196028505988,-10.0,-10.0,15
0.2207232672490351,-10.0,-10.0,16
0.22154238382799485,-10.0,-10.0,17
0.24540660600837855,-10.0,-10.0,18
0.27794671288128,-10.0,-10.0,19
0.2407894494264983,-10.0,-10.0,20
0.23388995844075972,-10.0,-10.0,21
0.20853324183640426,-10.0,-10.0,22
0.24435414333360123,-10.0,-10.0,23
0.2176822760923906,-10.0,-10.0,24
0.2117480859359194,-10.0,-10.0,25
0.23221467444855107,-10.0,-10.0,26
0.20519543744305274,-10.0,-10.0,27
0.20795569606524755,-10.0,-10.0,28
0.21488311234377003,-10.0,-10.0,29
0.2097924713540458,-10.0,-10.0,30
0.21251383489679532,-10.0,-10.0,31
0.23175097774252523,-10.0,-10.0,32
0.21633659546895334,-10.0,-10.0,33
0.2645624174936693,-10.0,-10.0,34
0.2171603857063906,-10.0,-10.0,35
0.21540407504018919,-10.0,-10.0,36
0.20478396004699334,-10.0,-10.0,37
0.25159461765097063,-10.0,-10.0,38
0.23496674938073822,-10.0,-10.0,39
0.21742042459927063,-10.0,-10.0,40
0.22198535333276,-10.0,-10.0,41
0.2559986737437925,-10.0,-10.0,42
0.23933557213648318,-10.0,-10.0,43
0.24913661088635625,-10.0,-10.0,44
0.24392323821679276,-10.0,-10.0,45
0.2639256700497655,-10.0,-10.0,46
0.21332455702416164,-10.0,-10.0,47
0.23770279294185911,-10.0,-10.0,48
0.24456367908066087,-10.0,-10.0,49
0.2503624954426948,-10.0,-10.0,50
0.23813075529181243,-10.0,-10.0,51
0.23620273032637967,-10.0,-10.0,52
0.2422586660225845,-10.0,-10.0,53
0.25541207983117825,-10.0,-10.0,54
0.2597445766047245,-10.0,-10.0,55
0.25508845442278727,-10.0,-10.0,56
0.23165840242886043,-10.0,-10.0,57
0.20845925571776364,-10.0,-10.0,58
0.25700448853237967,-10.0,-10.0,59
0.2130439288697103,-10.0,-10.0,60
0.26223618485452294,-10.0,-10.0,61
0.21903471378631062,-10.0,-10.0,62
0.22329568518329088,-10.0,-10.0,63
0.2461744523505175,-10.0,-10.0,64
0.23885318397319555,-10.0,-10.0,65
0.21972076739186452,-10.0,-10.0,66
0.218653422321078,-10.0,-10.0,67
0.2567195207979826,-10.0,-10.0,68
0.24979164306285326,-10.0,-10.0,69
0.24260257010591632,-10.0,-10.0,70
0.27101630576851415,-10.0,-10.0,71
0.20503350236104725,-10.0,-10.0,72
0.22938894123894882,-10.0,-10.0,73
0.2293226025371879,-10.0,-10.0,74
0.21578690379665288,-10.0,-10.0,75
0.23078914126142844,-10.0,-10.0,76
0.25623835066775064,-10.0,-10.0,77
0.2739107534179772,-10.0,-10.0,78
0.22646790857608123,-10.0,-10.0,79
